Field: G37.554+0.201

SpectralWindow: 25
216.7331973507~216.7380797742GHz LSRK
216.7927629174~216.7937394021GHz LSRK
216.8035042491~216.8093631573GHz LSRK
216.9734125869~216.9773185257GHz LSRK
216.9870833727~216.9968482197GHz LSRK
217.1189088072~217.1218382613GHz LSRK
217.2702639357~217.2790522980GHz LSRK
217.3454532576~217.3522886505GHz LSRK
217.4675138451~217.4723962686GHz LSRK
217.7917067655~217.8092834901GHz LSRK
217.8376015464~217.8415074852GHz LSRK
217.9196262612~217.9323205623GHz LSRK
218.4391161216~218.4430220604GHz LSRK

SpectralWindow: 27
219.0058402162~219.0849355093GHz LSRK
219.1279008537~219.1513364961GHz LSRK
219.1650072875~219.1689132279GHz LSRK
219.1874664448~219.1943018405GHz LSRK
219.2265258488~219.2538674316GHz LSRK
219.2733971336~219.2851149548GHz LSRK
219.3085505972~219.3280802992GHz LSRK
219.3573748522~219.3710456436GHz LSRK
219.3856929201~219.3935048009GHz LSRK
219.4208463837~219.4267052943GHz LSRK
219.4589293026~219.4745530642GHz LSRK
219.5097065278~219.5155654384GHz LSRK
219.5673191487~219.5848958805GHz LSRK
219.6259082547~219.6386025610GHz LSRK
219.6903562713~219.7176978541GHz LSRK
219.7704280495~219.8085109684GHz LSRK
219.8172993343~219.8280406704GHz LSRK
219.8553822532~219.8651471042GHz LSRK
219.9393599718~219.9667015546GHz LSRK
219.9833018013~219.9911136821GHz LSRK
219.9999020480~220.0038079884GHz LSRK
220.0282201159~220.0584911540GHz LSRK
220.0819267964~220.0858327368GHz LSRK
220.1649280299~220.1805517915GHz LSRK
220.1942225829~220.2274230763GHz LSRK
220.2508587187~220.2801532717GHz LSRK
220.3133537651~220.3192126757GHz LSRK
220.3709663860~220.3807312370GHz LSRK
220.4305319771~220.4666619258GHz LSRK
220.5867695931~220.5936049888GHz LSRK
220.7088302306~220.7205480518GHz LSRK
220.7683958217~220.7732782472GHz LSRK
220.7879255237~220.8006198300GHz LSRK
